model_name,event_id,alarm_token_index,onset_token_index,lead_time_tokens,detected
llama3.1:latest,llama3.1:latest_p043,10,10,0,True
llama3.1:latest,llama3.1:latest_p044,-36,4,40,True
llama3.1:latest,llama3.1:latest_p045,1,17,16,True
llama3.1:latest,llama3.1:latest_p046,-12,9,21,True
llama3.1:latest,llama3.1:latest_p047,-16,2,18,True
llama3.1:latest,llama3.1:latest_p048,-29,5,34,True
llama3.1:latest,llama3.1:latest_p049,-34,7,41,True
deepseek-r1:latest,deepseek-r1:latest_p000,-25,5,30,True
deepseek-r1:latest,deepseek-r1:latest_p001,-16,4,20,True
deepseek-r1:latest,deepseek-r1:latest_p002,2,8,6,True
deepseek-r1:latest,deepseek-r1:latest_p003,-6,5,11,True
deepseek-r1:latest,deepseek-r1:latest_p004,7,20,13,True
deepseek-r1:latest,deepseek-r1:latest_p005,4,5,1,True
deepseek-r1:latest,deepseek-r1:latest_p006,5,17,12,True
deepseek-r1:latest,deepseek-r1:latest_p007,4,5,1,True
deepseek-r1:latest,deepseek-r1:latest_p008,-21,16,37,True
deepseek-r1:latest,deepseek-r1:latest_p009,-8,6,14,True
deepseek-r1:latest,deepseek-r1:latest_p010,-15,5,20,True
deepseek-r1:latest,deepseek-r1:latest_p011,-22,5,27,True
deepseek-r1:latest,deepseek-r1:latest_p012,-16,5,21,True
deepseek-r1:latest,deepseek-r1:latest_p013,-44,5,49,True
deepseek-r1:latest,deepseek-r1:latest_p014,-37,5,42,True
deepseek-r1:latest,deepseek-r1:latest_p015,-48,5,53,True
deepseek-r1:latest,deepseek-r1:latest_p016,-32,5,37,True
deepseek-r1:latest,deepseek-r1:latest_p017,-46,5,51,True
deepseek-r1:latest,deepseek-r1:latest_p018,-42,5,47,True
deepseek-r1:latest,deepseek-r1:latest_p019,-25,5,30,True
deepseek-r1:latest,deepseek-r1:latest_p020,4,5,1,True
deepseek-r1:latest,deepseek-r1:latest_p021,-24,5,29,True
deepseek-r1:latest,deepseek-r1:latest_p022,2,5,3,True
deepseek-r1:latest,deepseek-r1:latest_p023,-42,5,47,True
deepseek-r1:latest,deepseek-r1:latest_p024,-16,5,21,True
deepseek-r1:latest,deepseek-r1:latest_p025,5,5,0,True
deepseek-r1:latest,deepseek-r1:latest_p026,2,16,14,True
deepseek-r1:latest,deepseek-r1:latest_p027,-16,5,21,True
deepseek-r1:latest,deepseek-r1:latest_p028,-36,5,41,True
deepseek-r1:latest,deepseek-r1:latest_p029,-34,5,39,True
deepseek-r1:latest,deepseek-r1:latest_p030,-32,3,35,True
deepseek-r1:latest,deepseek-r1:latest_p031,-24,5,29,True
deepseek-r1:latest,deepseek-r1:latest_p032,-16,14,30,True
deepseek-r1:latest,deepseek-r1:latest_p033,-18,8,26,True
deepseek-r1:latest,deepseek-r1:latest_p034,-40,4,44,True
deepseek-r1:latest,deepseek-r1:latest_p035,-34,6,40,True
deepseek-r1:latest,deepseek-r1:latest_p036,-21,5,26,True
deepseek-r1:latest,deepseek-r1:latest_p037,14,18,4,True
deepseek-r1:latest,deepseek-r1:latest_p038,-45,5,50,True
deepseek-r1:latest,deepseek-r1:latest_p039,1,4,3,True
deepseek-r1:latest,deepseek-r1:latest_p040,-6,6,12,True
deepseek-r1:latest,deepseek-r1:latest_p041,-35,5,40,True
deepseek-r1:latest,deepseek-r1:latest_p042,-33,5,38,True
deepseek-r1:latest,deepseek-r1:latest_p043,-30,4,34,True
deepseek-r1:latest,deepseek-r1:latest_p044,-1,5,6,True
deepseek-r1:latest,deepseek-r1:latest_p045,-25,5,30,True
deepseek-r1:latest,deepseek-r1:latest_p046,-26,4,30,True
deepseek-r1:latest,deepseek-r1:latest_p047,-27,5,32,True
deepseek-r1:latest,deepseek-r1:latest_p048,-10,5,15,True
deepseek-r1:latest,deepseek-r1:latest_p049,7,20,13,True
phi4-mini:latest,phi4-mini:latest_p000,-12,16,28,True
phi4-mini:latest,phi4-mini:latest_p001,2,2,0,True
phi4-mini:latest,phi4-mini:latest_p002,-29,11,40,True
phi4-mini:latest,phi4-mini:latest_p003,-31,5,36,True
phi4-mini:latest,phi4-mini:latest_p004,-53,3,56,True
phi4-mini:latest,phi4-mini:latest_p005,-42,3,45,True
phi4-mini:latest,phi4-mini:latest_p006,-43,3,46,True
phi4-mini:latest,phi4-mini:latest_p007,-25,2,27,True
phi4-mini:latest,phi4-mini:latest_p008,-34,4,38,True
phi4-mini:latest,phi4-mini:latest_p009,-8,3,11,True
phi4-mini:latest,phi4-mini:latest_p010,-31,3,34,True
phi4-mini:latest,phi4-mini:latest_p011,-16,9,25,True
phi4-mini:latest,phi4-mini:latest_p012,-4,17,21,True
phi4-mini:latest,phi4-mini:latest_p013,2,2,0,True
phi4-mini:latest,phi4-mini:latest_p014,-41,4,45,True
phi4-mini:latest,phi4-mini:latest_p015,-19,4,23,True
phi4-mini:latest,phi4-mini:latest_p016,-4,9,13,True
phi4-mini:latest,phi4-mini:latest_p017,-27,13,40,True
phi4-mini:latest,phi4-mini:latest_p018,-23,16,39,True
phi4-mini:latest,phi4-mini:latest_p019,-14,10,24,True
phi4-mini:latest,phi4-mini:latest_p020,5,5,0,True
phi4-mini:latest,phi4-mini:latest_p021,-19,2,21,True
phi4-mini:latest,phi4-mini:latest_p022,7,7,0,True
phi4-mini:latest,phi4-mini:latest_p023,-21,6,27,True
phi4-mini:latest,phi4-mini:latest_p024,-10,3,13,True
phi4-mini:latest,phi4-mini:latest_p025,-20,6,26,True
phi4-mini:latest,phi4-mini:latest_p026,-22,4,26,True
phi4-mini:latest,phi4-mini:latest_p027,3,3,0,True
phi4-mini:latest,phi4-mini:latest_p028,-42,8,50,True
phi4-mini:latest,phi4-mini:latest_p029,-8,6,14,True
phi4-mini:latest,phi4-mini:latest_p030,-40,7,47,True
phi4-mini:latest,phi4-mini:latest_p031,3,3,0,True
phi4-mini:latest,phi4-mini:latest_p032,3,7,4,True
phi4-mini:latest,phi4-mini:latest_p033,-8,6,14,True
phi4-mini:latest,phi4-mini:latest_p034,-45,4,49,True
phi4-mini:latest,phi4-mini:latest_p035,-47,4,51,True
phi4-mini:latest,phi4-mini:latest_p036,5,5,0,True
phi4-mini:latest,phi4-mini:latest_p037,-35,4,39,True
phi4-mini:latest,phi4-mini:latest_p038,10,20,10,True
phi4-mini:latest,phi4-mini:latest_p039,-50,3,53,True
phi4-mini:latest,phi4-mini:latest_p040,-26,2,28,True
phi4-mini:latest,phi4-mini:latest_p041,-13,14,27,True
phi4-mini:latest,phi4-mini:latest_p042,-35,8,43,True
phi4-mini:latest,phi4-mini:latest_p043,-3,8,11,True
phi4-mini:latest,phi4-mini:latest_p044,3,4,1,True
phi4-mini:latest,phi4-mini:latest_p045,-35,2,37,True
phi4-mini:latest,phi4-mini:latest_p046,-43,3,46,True
phi4-mini:latest,phi4-mini:latest_p047,-24,8,32,True
phi4-mini:latest,phi4-mini:latest_p048,-13,3,16,True
phi4-mini:latest,phi4-mini:latest_p049,-33,6,39,True
llama3.2:latest,llama3.2:latest_p000,,,0,False
llama3.2:latest,llama3.2:latest_p001,-18,9,27,True
llama3.2:latest,llama3.2:latest_p002,7,8,1,True
llama3.2:latest,llama3.2:latest_p003,,,0,False
llama3.2:latest,llama3.2:latest_p004,4,4,0,True
llama3.2:latest,llama3.2:latest_p005,,,0,False
llama3.2:latest,llama3.2:latest_p006,2,3,1,True
llama3.2:latest,llama3.2:latest_p007,-47,5,52,True
llama3.2:latest,llama3.2:latest_p008,-28,10,38,True
llama3.2:latest,llama3.2:latest_p009,-18,7,25,True
llama3.2:latest,llama3.2:latest_p010,-33,11,44,True
llama3.2:latest,llama3.2:latest_p011,-7,2,9,True
llama3.2:latest,llama3.2:latest_p012,0,3,3,True
llama3.2:latest,llama3.2:latest_p013,-1,11,12,True
llama3.2:latest,llama3.2:latest_p014,-51,2,53,True
llama3.2:latest,llama3.2:latest_p015,-47,4,51,True
llama3.2:latest,llama3.2:latest_p016,-9,7,16,True
llama3.2:latest,llama3.2:latest_p017,-5,6,11,True
llama3.2:latest,llama3.2:latest_p018,-53,3,56,True
llama3.2:latest,llama3.2:latest_p019,-17,2,19,True
llama3.2:latest,llama3.2:latest_p020,-34,8,42,True
llama3.2:latest,llama3.2:latest_p021,-14,8,22,True
llama3.2:latest,llama3.2:latest_p022,5,5,0,True
llama3.2:latest,llama3.2:latest_p023,-15,6,21,True
llama3.2:latest,llama3.2:latest_p024,-29,4,33,True
llama3.2:latest,llama3.2:latest_p025,-20,3,23,True
llama3.2:latest,llama3.2:latest_p026,3,3,0,True
llama3.2:latest,llama3.2:latest_p027,-29,11,40,True
llama3.2:latest,llama3.2:latest_p028,-21,5,26,True
llama3.2:latest,llama3.2:latest_p029,4,4,0,True
llama3.2:latest,llama3.2:latest_p030,2,4,2,True
llama3.2:latest,llama3.2:latest_p031,3,3,0,True
llama3.2:latest,llama3.2:latest_p032,2,6,4,True
llama3.2:latest,llama3.2:latest_p033,-13,4,17,True
llama3.2:latest,llama3.2:latest_p034,-30,3,33,True
llama3.2:latest,llama3.2:latest_p035,1,4,3,True
llama3.2:latest,llama3.2:latest_p036,-40,2,42,True
llama3.2:latest,llama3.2:latest_p037,-28,4,32,True
llama3.2:latest,llama3.2:latest_p038,-24,3,27,True
llama3.2:latest,llama3.2:latest_p039,0,4,4,True
llama3.2:latest,llama3.2:latest_p040,4,4,0,True
llama3.2:latest,llama3.2:latest_p041,-24,2,26,True
llama3.2:latest,llama3.2:latest_p042,-25,6,31,True
llama3.2:latest,llama3.2:latest_p043,-48,4,52,True
llama3.2:latest,llama3.2:latest_p044,2,2,0,True
llama3.2:latest,llama3.2:latest_p045,-16,13,29,True
llama3.2:latest,llama3.2:latest_p046,-3,17,20,True
llama3.2:latest,llama3.2:latest_p047,-50,4,54,True
llama3.2:latest,llama3.2:latest_p048,-16,7,23,True
llama3.2:latest,llama3.2:latest_p049,-34,6,40,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p000,-24,3,27,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p001,-4,3,7,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p002,-50,3,53,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p003,-24,3,27,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p004,-1,3,4,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p005,-52,3,55,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p006,-39,3,42,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p007,-21,3,24,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p008,-47,3,50,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p009,-48,5,53,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p010,-2,3,5,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p011,-20,7,27,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p012,-51,3,54,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p013,-1,3,4,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p014,-5,13,18,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p015,-24,4,28,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p016,-41,3,44,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p017,3,3,0,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p018,-24,3,27,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p019,-16,3,19,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p020,-31,6,37,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p021,-4,3,7,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p022,11,18,7,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p023,-36,3,39,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p024,13,14,1,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p025,-17,3,20,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p026,-13,3,16,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p027,-32,3,35,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p028,-27,3,30,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p029,-48,3,51,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p030,-36,3,39,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p031,-25,8,33,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p032,-20,3,23,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p033,-16,7,23,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p034,-22,3,25,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p035,-16,3,19,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p036,-30,3,33,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p037,-38,3,41,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p038,-19,3,22,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p039,-49,3,52,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p040,-34,3,37,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p041,3,3,0,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p042,-6,3,9,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p043,-40,3,43,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p044,-53,3,56,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p045,-19,3,22,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p046,-11,3,14,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p047,-37,3,40,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p048,3,3,0,True
coney_/gpt-oss_claude-sonnet4.6:latest,coney_/gpt-oss_claude-sonnet4.6:latest_p049,-41,3,44,True
